name,system_DC_capacity_W,address,orientation,num_outputs,last_output,system_id,panel,inverter,distance_km,latitude,longitude,country
Berthil's panelen 9 (V),3410,8091,N,716,Yesterday,83355,Omnik,GoodWe,2.6,52.4617,5.9986,Netherlands
Bouma Solar 2,4440,8091,E,630,Yesterday,93209,Enphase,Enphase,2.6,52.4617,5.9986,Netherlands
ebri SW93,3600,8091,S,564,Yesterday,92588,Unknown,Growatt 3600TL-X,2.6,52.4617,5.9986,Netherlands
Bennie's panelen 9,2655,8091,N,1142,Yesterday,83270,SMA,SMA,2.6,52.4617,5.9986,Netherlands
Berthil's panelen 4,1000,8091,N,1141,Yesterday,83356,Omnik,Omnik,2.6,52.4617,5.9986,Netherlands
platte dak Noordsingel 147,3160,8091,SE,1083,Yesterday,84436,Trina Soar ,Growatt,2.6,52.4617,5.9986,Netherlands
SolarEdge SE5000,5490,8091,SW,2080,Yesterday,61162,,SolarEdge SE5000,2.6,52.4617,5.9986,Netherlands
Bennie's panelen 4,1360,8091,S,1093,Yesterday,83262,GoodWe,GoodWe,2.6,52.4617,5.9986,Netherlands
Stephan's panelen 4 (1000wp),1000,8091,SW,1148,Yesterday,83260,Omnik,Omnik,2.6,52.4617,5.9986,Netherlands
Stephan's panelen 4 (1080wp),1080,8091,SE,772,Yesterday,83245,Omnik,Omnik,2.9,52.460481,6.002998,Netherlands
Stephan's panelen 11 (2750wp),2750,8091,SE,1148,Yesterday,83259,Omnik,Omnik,2.9,52.460458,6.003004,Netherlands
Stephan's panelen 8 (2000wp),2000,8091,SE,1148,Yesterday,83258,Omnik,Omnik,2.9,52.460468,6.003014,Netherlands
Koeleweg,4620,8096,SE,444,74 weeks ago,85216,MSMD330AS,Goodwe D4200-NS,3.0,52.4658,6.0065,Netherlands
A.Leusink,4800,8095,N,1530,106 weeks ago,57493,Boviet,solaredge,3.0,52.4658,6.0065,Netherlands
WWZ Oosterwolde Gelderland,3840,8097,SE,4349,Yesterday,9417,CSUN,Solaredge,1.6,52.463502,5.890847,Netherlands
Pannekoek,7315,8051,EW,759,Yesterday,90360,j,solaredge,3.1,52.471041,6.059668,Netherlands
Sesamstraat,3120,8051,S,4000,Yesterday,20771,ReneSola JC260S-24,SMA - SB 3000TLST,3.3,52.476131,6.06201,Netherlands
Heideveld,3240,8051,S,535,68 weeks ago,69642,Unknown,PVL3400N17A12055,3.4,52.475,6.0639,Netherlands
Gaedsbergweg71,6480,8051,S,735,Yesterday,91147,REC405AA Pure,IQ7PLUS-72-2-FR,3.4,52.475,6.0639,Netherlands
8081ZJ12,6720,8081,EW,2443,13 weeks ago,52894,JA Solar,SolarEdge SE7K,5.8,52.449723,5.86224,Netherlands
Jan Netduino,7685,8081,SW,2670,162 weeks ago,22382,Yingli panda ,Sma 3600 en enecsys,6.2,52.4475,5.8431,Netherlands
Sma3600tl21,6095,8081,S,2750,171 weeks ago,19096,Yingli,Sma,6.2,52.4475,5.8431,Netherlands
Jan Power Stroompjes,7685,8081,EW,2530,174 weeks ago,19757,Yingli,Sma 3600 en Enecsys 3 x 480,6.2,52.4475,5.8431,Netherlands
EB01NL01,2250,8081,S,3481,Yesterday,20643,8.33 Solar Mono Gallium,Growatt MTL2500,6.2,52.4475,5.8431,Netherlands
Kersenkampstraat 15 Elburg,2650,8081,W,3773,Yesterday,23211,Yingli,SMA,6.8,52.443707,5.834281,Netherlands
Oosting_Zwolle,4080,8014,E,2943,Yesterday,45788,Solar Frontier SF170-S,SolarEdge SE3500,1.0,52.49147,6.109436,Netherlands
Rojannergy,2400,8014,EW,1840,Yesterday,67204,AstroNergy ASM6610M300FB,Trannergy SGN2300TL,2.0,52.486587,6.123051,Netherlands
Zonnepanelen-Mulertkamp,2475,8014,S,801,Yesterday,87958,n.a.,SMA Sunny Boy,0.6,52.488033,6.114766,Netherlands
Klippe,6400,8016,W,3998,Yesterday,20407,Suntech Power STP320S-A20,Solaredge 5000,0.9,52.482973,6.097294,Netherlands
ZonJoost,2400,8014,SW,3805,Yesterday,22917,TS-M200B, SMA SB2000HF30,0.9,52.491144,6.114163,Netherlands
JansenPV,3025,8014,SE,3201,Yesterday,59782,BenQ PM060M02,Fronius Primo 3.0-1,1.0,52.486224,6.123384,Netherlands
RJVH_Zwolle,3965,8015,S,1608,Yesterday,72399,Ulica Solar Mono,SolarEdge HD-Wave 3680,1.1,52.476113,6.119548,Netherlands
Dreessingel,1530,8015,S,4225,Yesterday,50452,Yingli,SMA SB1600TL,1.1,52.475609,6.120493,Netherlands
PostmanNL,3675,8084,SE,3620,Yesterday,28977,12x YL255C-30b & 3x YL205C-24c,SMA Sunny Boy 3000 HF,3.1,52.419636,5.878996,Netherlands
9c,7200,8085,S,519,43 weeks ago,88982,Trina Solar,GoodWe,4.9,52.405535,5.854061,Netherlands
Jan@solar,4440,8071,SE,1135,Yesterday,83288,REC 370AA,Enphase IQ7+,0.6,52.384001,5.778213,Netherlands
Bauer16,6080,8071,EW,645,Yesterday,93148,Bauer,Enphase IQ7+,1.2,52.3792,5.7861,Netherlands
Solaredge schuur,6080,8072,S,1209,Yesterday,81871,Solar edge,Solar Edge,1.2,52.3792,5.7861,Netherlands
Meijer,2700,8071,SE,2012,Yesterday,63600,Heckert Solar,Solar edge SE3000H,1.2,52.3792,5.7861,Netherlands
Oenenburg,5000,8072,SW,3326,Yesterday,19710,CSUN 250-60P,Growatt 4400TL,1.2,52.3792,5.7861,Netherlands
Haspeltje,500,8077,S,1472,65 weeks ago,16510,weet niet,mastervolt 600,4.3,52.3633,5.7319,Netherlands
MacCoach,4800,3848,EW,3230,11 weeks ago,33323,LG,SolarEdge,5.1,52.349634,5.646023,Netherlands
Vuurtoren56,2700,3846,SE,971,Yesterday,86243,Enphase,Emphase,5.7,52.357361,5.616417,Netherlands
Bossies Home,5385,3842,SW,2275,Yesterday,57297,JA Solar JAM6(K)(BK)-60-295/PR,Enphase,5.8,52.346786,5.634265,Netherlands
Vuurtoren20,2700,3846,SW,1432,Yesterday,76538,JinkoSolar JKM300M-60B,Enphase IQ7+,5.8,52.357466,5.614614,Netherlands
Harderwijk Wittehagen,2250,3843,S,3676,Yesterday,29112,SolarWorld  250 mono black,Enphase M215,6.5,52.336843,5.639822,Netherlands
reekmeen,2320,3844,S,2945,Yesterday,45155,JA Solar Percium Mono 290Wp,SolarEdge SE2200,6.8,52.3417,5.6208,Netherlands
SE RGM11 P,3575,3844,S,1510,Yesterday,75059,Phono solar 5x295wp 6x350wp,Solar Edge hd3000,6.8,52.3417,5.6208,Netherlands
smais,2650,3844,S,3363,84 weeks ago,44216,el solar,sma sunnyboy,6.8,52.3417,5.6208,Netherlands
Veranda en schuur,3780,3843,S,959,Yesterday,86494,Longi Solar,Enphase,6.8,52.3417,5.6208,Netherlands
Goodwe GW2500-NS,2080,3846,W,1495,75 weeks ago,62054,unknown,Goodwe GW2500-NS,6.8,52.3417,5.6208,Netherlands
Vuurtoren58,3900,3846,SW,985,Yesterday,86217,jinko,enphase,6.8,52.3417,5.6208,Netherlands
De Meerkoet,4400,3844,E,1039,Yesterday,85292,Phono Solar PS400M4-22,Solar Edge 4000,6.8,52.3417,5.6208,Netherlands
HK-ENV01,7200,3845,S,638,5 days ago,93227,Enphase,Enphase IQ7PLUS-72-2-INT,6.8,52.3417,5.6208,Netherlands
Huize AdLentis,2800,3844,S,1493,59 weeks ago,65333,JA Solar,Enphase ME215-E,6.8,52.3417,5.6208,Netherlands
HarderSouthEast,3060,3841,SE,3972,2 days ago,21196,REC 255,SMA Sunny Boy 2500 TL,7.0,52.335486,5.630241,Netherlands
Schipper Power - Wind Two,950000,3897,N,1251,Yesterday,80959,Neg Micon NM54 @ 55 meters,None  just Cos-Phi Capacitors,2.8,52.409466,5.459111,Netherlands
FutureCow,3500,3840,SE,4044,2 days ago,16370,ET Solar,SMA SB3000TL-21,5.7,52.338298,5.605853,Netherlands
Zeewolde,6400,3893,SW,4575,Yesterday,4770,LG-320M,SMA Sunny boy 5.0,5.3,52.342907,5.519857,Netherlands
KoraalZeewolde,2100,3893,S,4083,Yesterday,17739,Solar Frontier 150S,Power One Aurora PVI 3.0,6.2,52.335038,5.521016,Netherlands
KoraalZeewolde2,2340,3893,S,600,Yesterday,93084,Trina Vertex Mono 390Wp,Solaredge SE2200 HD Wave,6.2,52.334982,5.521123,Netherlands
happysolar,4620,3891,S,4309,Yesterday,10691,(12x230 + 6x310),AEG Protect PV 4600 (02/11/13),6.4,52.334461,5.529714,Netherlands
Biotoop-71 - Flukso,3750,3893,S,3559,83 weeks ago,16197,Canadian Solar CS6P,SolarEdge SE4000,6.5,52.332206,5.52242,Netherlands
SunPower@Passaat_3893CV,6375,3893,NE,627,Yesterday,91973,Longi LR4-60HPH-375M,sun2000-5ktl-l1,6.7,52.330398,5.518404,Netherlands
Palm,1080,8191,S,684,143 weeks ago,67270,,Tranergy,3.2,52.4292,6.0736,Netherlands
HRBT_MKW,4900,8181,S,1736,Yesterday,62126,Sunpower X21-350BLK,SMA SB4.0,2.7,52.393751,6.04115,Netherlands
van Dalfsen Heerde,3780,8181,S,1321,Yesterday,56124,SolarWatt Vision 60m style,SMA Sunny Boy 3.6,2.9,52.394946,6.033677,Netherlands
tVossehol,5720,8181,SW,3335,Yesterday,35390,axitec ac-260p,Enecsys SMI-D480W Duo,3.4,52.3872,6.0402,Netherlands
ZPNE,1920,8181,S,2284,Yesterday,56673,Enecsys,Enecsys,3.4,52.3872,6.0402,Netherlands
Zonnestroomcb,1956,8131,SW,2279,Yesterday,57532,Sharp/Philips,Soladin600,3.5,52.388376,6.131953,Netherlands
8131HomeDak,4420,8131,N,1797,Yesterday,68346,Sunrise 260 Panel,Stegagrid 4200,3.7,52.3867,6.1347,Netherlands
Chris zonnepanelen,1800,8162,E,1966,Yesterday,37819,Onbekend,Onbekend,4.9,52.3475,5.9833,Netherlands
Dijkman Epe,10560,8162,EW,1412,Yesterday,77543,Bisol BMO 320Wp,Enphase IQ7,4.9,52.3475,5.9833,Netherlands
Epe,3375,8161,SE,834,Yesterday,84775,Trina Solar,Growatt ,4.9,52.3475,5.9833,Netherlands
Robodw,12375,8162,S,563,Yesterday,94912,SunPower 375 WP Full Black ,Enphase IQ7+,4.9,52.3475,5.9833,Netherlands
SchoolZon,4016,8181,SE,3412,79 weeks ago,7676,LG250s1k,Power One 3.6,5.7,52.37357,6.041866,Netherlands
Swart - Oene,4500,8167,S,2411,73 weeks ago,39216,Axitec 250 Wp poly,Platinum 4800tl,5.0,52.3442,6.0486,Netherlands
Oene-Oost-West,4160,8167,E,1049,Yesterday,85077,?,Goodwe,5.0,52.3442,6.0486,Netherlands
Oene-Zuid,9880,8167,S,1148,Yesterday,35339,Yingli,Power One 8.5,5.0,52.3442,6.0486,Netherlands
Middenhuis - Aardehuis - Olst,6480,8121,S,505,84 weeks ago,78057,Phono Solar,SMA,6.7,52.3375,6.1097,Netherlands
Thor 21,3750,8121,S,1945,175 weeks ago,34079,ReneSola 156 Mono,Growatt 3600 MTL,6.7,52.3375,6.1097,Netherlands
De groene Tank - Aardehuis,71040,8121,S,1064,30 weeks ago,77615,Phono Solar,Goodwe,6.7,52.3375,6.1097,Netherlands
TuskerSun,3540,8121,SE,1473,Yesterday,76070,Phonosolar,Goodwe,6.7,52.3375,6.1097,Netherlands
Dalfsen_Solar_2,2500,7721,S,4018,Yesterday,17607,SST 185-72M,Steca 500,6.4,52.5117,6.2569,Netherlands
FaberSolar Dalfsen,4160,7721,E,2445,101 weeks ago,35182,JA Solar Mono 260 Full Black,SAJ Sununo-TL4KA,6.4,52.5117,6.2569,Netherlands
Vechtzon,5890,7721,W,847,Yesterday,88700,TSMC,SolarEdge SE7,6.4,52.5117,6.2569,Netherlands
Ommen 7731ZT,2925,7731,S,4125,Yesterday,15252,IBC MonoSol 195 DS Black,SB 3000-TL21,3.6,52.528842,6.413161,Netherlands
PV Ommen,6290,7731,S,498,Yesterday,96421,Jinko JKM370N-6TL3-BK,SAJ R5-5K-T2,3.7,52.534744,6.432683,Netherlands
Ommen SolarEdge Optimizers,6990,7731,SW,3434,Yesterday,34409,DMEGC 255 P156-60 /300-M156-60,SolarEdge SE5000,3.7,52.534683,6.433127,Netherlands
Kelder_2,2700,7731,S,656,Yesterday,92763,CANADIAN SOLAR,Zeversolar,4.0,52.533092,6.436497,Netherlands
Kelder_1,4380,7731,EW,645,Yesterday,92762,JA SOLAR,SolarEdge,4.0,52.533075,6.436497,Netherlands
Vechtdal 37*LG320  SE12.5K,11840,7731,SE,2154,Yesterday,62093,LG NeON® 2 Black 320,Solar Edge SE 12 5K,4.6,52.5208,6.4208,Netherlands
Waardenburg,9900,7731,S,1933,Yesterday,65058,IBC Solar,Solar Edge SE 12.5K,4.6,52.5208,6.4208,Netherlands
Veranda Ommen,3600,7731,S,1839,Yesterday,55709,Solaredge,Solaredge 4000HD,4.6,52.5208,6.4208,Netherlands
Houthok Ommen,3375,7731,E,1839,Yesterday,67424,Jasolar,Solaredge 3500H,4.6,52.5208,6.4208,Netherlands
Daken Zuid,7670,8151,S,2276,Yesterday,57841,Trina TSM-295PC14,SolarEdge SE7K,6.6,52.448829,6.346646,Netherlands
Gerardvb,3960,8151,E,1638,Yesterday,72026,Lg,Solaredge,6.8,52.4458,6.3417,Netherlands
Thuiszonpv,6020,8151,S,1151,Yesterday,83272,qcel,goodwe,6.8,52.4458,6.3417,Netherlands
Gaits zonnecentrum,4590,8055,S,3763,Yesterday,22250,Yingli Panda 255 Mono,SMA Sunny Boy 4000TL,5.2,52.46,6.1708,Netherlands
SolarEdge Omvormer,2400,8148,E,1968,Yesterday,64204,JASolar 300wp,SolarEdge 2200HD wave,5.6,52.4525,6.4153,Netherlands
Energiemeting,4000,8148,SE,3166,Yesterday,40047,Yingli Solar,Omnik 4.0TL,5.6,52.4525,6.4153,Netherlands
Dijk-Home,5740,8148,EW,368,7 weeks ago,97585,Jinko JKM410N-54HL4,SMA Sunny Tripower,6.9,52.440214,6.384344,Netherlands
Neil 24x Blue 5760WP,5760,7691,SE,4130,Yesterday,15839,Polysol,Sunny Boy 5000TL21,5.0,52.519559,6.639451,Netherlands
Egbert 18x240 + 6x330 6300WP,6300,7691,SE,4188,Yesterday,15840,Polysol,SMA Sunny Boy 4000TL21,5.0,52.519594,6.639231,Netherlands
PV Banthum,6480,7691,N,889,Yesterday,87846,?,Fronius,5.3,52.5267,6.6139,Netherlands
KH,3950,7694,W,544,Yesterday,94882,Risen,Chint,7.0,52.4967,6.6694,Netherlands
Aloaha Enecsys 2000022456,2880,7693,S,2899,63 weeks ago,36213,Aloaha Dataservices.Solar,Enecsys 480,9.0,52.4817,6.6375,Netherlands
Bakler,5400,7676,S,2177,Yesterday,59511,Axis,SolarEdge,12.0,52.4558,6.6236,Netherlands
Huize Zonnedak,6075,7676,E,500,Yesterday,96218,Longi LR5-54HIB-405M,Enphase IQ7+,12.0,52.4558,6.6236,Netherlands
Bakler V2,5400,7676,NW,2035,Yesterday,61968,Axis,Fronius,12.0,52.4558,6.6236,Netherlands
Afdak_,3500,7683,SE,518,Yesterday,96841,SolarWorld,SolarEdge 3000,4.5,52.4658,6.4958,Netherlands
Huis_,1800,7683,SW,539,18 days ago,28134,ZN-Shine,SMA Sunny Boy 1600,4.5,52.4658,6.4958,Netherlands
Schuur en Veranda,4875,7683,SW,517,Yesterday,96843,SunTech,SMA Sunny Boy 3600TL,4.5,52.4658,6.4958,Netherlands
DenHam-WB7,3060,7683,SW,3250,Yesterday,43350,DEMGC,Solaredge,4.5,52.4658,6.4958,Netherlands
Solar Frontier Pieter en Ellen,5100,7681,W,2758,Yesterday,47026,Solar Frontier,Steca Turbo 3P2,5.2,52.4608,6.5653,Netherlands
SE5K5760-18-320Wp,5760,7681,W,2094,Yesterday,61607,Panasonic,SolarEdge,5.2,52.4608,6.5653,Netherlands
SOLAR76_WATER2,4620,7688,SE,1305,Yesterday,79947,DMEGC,SolarEdge,3.4,52.4342,6.5375,Netherlands
SOLAR76_WATER,2820,7688,S,3161,Yesterday,38297,Enecsys,Enecsys,3.4,52.4342,6.5375,Netherlands
Waterboer,13020,7671,W,625,Yesterday,93301,Trina Solar Energy,Solar Edge,5.2,52.4083,6.6222,Netherlands
De Koolmees 65 nieuw,4250,7671,S,384,Yesterday,99089,Jinko,Enphase IQ8M,5.2,52.4083,6.6222,Netherlands
De Koolmees 65 oud,4080,7671,S,1012,Yesterday,85618,Solar Frontier,SolarMax,5.2,52.4083,6.6222,Netherlands
De Koolmees 65 totaal,8330,7671,S,384,Yesterday,99090,xx & Jinko,xx & Enphase,5.2,52.4083,6.6222,Netherlands
Hoogland-29,9150,7672,E,1668,45 weeks ago,76730,Hanwha Q-Cells,Solar-Edge SE7K-RW00ENNN2,5.2,52.4083,6.6222,Netherlands
RudyPV,9000,7671,S,2192,Yesterday,59608,AC-300M,Solar Edge SE10K,5.2,52.4083,6.6222,Netherlands
sjoemie-panel,1830,7671,S,1640,Yesterday,69982,Canadian Solar All Black 305wp,GW1500-NS,5.3,52.405751,6.619668,Netherlands
Oude SchoolRoad,8640,7645,SW,560,Yesterday,94990,LG 320 N1K-AS,SolarEdge SE8K-NL00ENNN2,5.7,52.3975,6.5625,Netherlands
PV OH88A - 7000WP,7000,7671,S,2523,Yesterday,52772,Solar Frontier,Fronius Symo 8.2-3-M,6.2,52.436323,6.671306,Netherlands
Underground,2500,7443,SE,3014,25 weeks ago,35841,AXITEC,Growatt 300TL,1.7,52.374009,6.485937,Netherlands
NK44,4880,7447,SW,1875,Yesterday,66500,JA Solar,Solaredge,2.4,52.3883,6.4514,Netherlands
ZonnigNijverdal 2.0 dak schuur,5460,7442,W,428,Yesterday,97949,Jinko,Goodwe,3.5,52.36,6.4681,Netherlands
hmtf_panelen,2750,7443,S,3294,Yesterday,25750,,SMA Sunny Boy 2100TL,3.5,52.36,6.4681,Netherlands
Kamperman 1 - ESE,1950,7441,W,2382,Yesterday,52505,QCells Q-peak G5 Duo 315Wp,Omnik 2.0k TL2,3.5,52.36,6.4681,Netherlands
ZonnigNijverdal,7300,7441,EW,511,87 weeks ago,83857,JA Solar,Goodwe GW6K-DT,3.5,52.36,6.4681,Netherlands
Merel-Nijverdal,2640,7442,SE,2225,32 weeks ago,52125,Solar,Omnik,3.5,52.36,6.4681,Netherlands
Nijverdal-vHoogen,5355,7443,S,2052,Yesterday,61224,Yingli,Zeverlution 5000,3.5,52.36,6.4681,Netherlands
Zonnepanelen Zuid,3180,7443,S,1453,Yesterday,76302,ZeverSolar,ZeveRSolar,3.5,52.36,6.4681,Netherlands
Zonnepanelen West,4440,7443,W,610,Yesterday,93614,Solaris,Solaris,3.5,52.36,6.4681,Netherlands
Slimmemeter Gas,50,7443,N,373,Yesterday,93756,,Energy Monitor,3.5,52.36,6.4681,Netherlands
Slimmemeter Electra,50,7443,N,605,Yesterday,93755,,Energy Monitor,3.5,52.36,6.4681,Netherlands
Daikin Airco,3750,7443,SW,1460,Yesterday,75947,Daikin,Daikin,3.5,52.36,6.4681,Netherlands
Beethovenlaan,3920,7441,EW,3572,Yesterday,11456,astronergy,sma Sunny Boy 3.0,3.7,52.355946,6.481424,Netherlands
Kamperman 2 - ESE/WNW,6975,7441,NW,1569,Yesterday,69957,Solar SF175-S / Q-Cells 325Wp,Omnik 6k-TL2-TH,3.8,52.361188,6.455083,Netherlands
pvs-Q-NL,3600,7442,S,1248,Yesterday,81393,DMEGC DM360M6-60HBB,SolarEdge SE3500H,4.3,52.350762,6.477932,Netherlands
Groot Kempersteyn,3780,7467,W,1473,Yesterday,75964,Solar,Sma,6.5,52.335,6.5208,Netherlands
AC-DC,12960,7448,EW,943,104 weeks ago,71609,Axitec AC-360/156-72S,SE16K,3.1,52.361555,6.38168,Netherlands
Hoarle,12920,7448,EW,1666,Yesterday,71384,Axitec AC-360M/156-72S ,SE16K,3.4,52.359511,6.380907,Netherlands
Prutser,7110,8103,SW,625,Yesterday,93405,Risen,Enphase IQ7+,6.6,52.397506,6.29382,Netherlands
Luky Solar Raalte,5400,8103,SW,1795,Yesterday,67430,Bisol,Enphase,7.0,52.396141,6.288819,Netherlands
Aadorp plat dak,8260,7611,S,2430,Yesterday,54569,Solar Trina Solar,Fronius,1.0,52.380761,6.63096,Netherlands
Aadorp Totaal,12700,7611,S,732,16 weeks ago,88837,Unknown,Fronius,1.4,52.3767,6.6292,Netherlands
Aadorp Garage,4440,7611,S,841,Yesterday,88836,SolarWatt Eco 120M 370W,Fronius Symo 6.0-3-M ,1.4,52.3767,6.6292,Netherlands
Schietspoel,5880,7641,S,2647,166 weeks ago,58070,Canadian Solar black,SMA SB 5000TL-21,3.0,52.372302,6.597735,Netherlands
Westra Oost West,6000,7602,E,3391,Yesterday,35006,amerisolar,sma sunnyboy 5000TL,3.2,52.36622,6.661524,Netherlands
Euren,3825,7604,SE,3701,Yesterday,28709,Yingli YL255C-30b All Black,SMA - Sunny Boy 3000HF-30,3.3,52.360448,6.642673,Netherlands
Baniersweg,5400,7603,S,1938,Yesterday,64523,DSE,Solaredge,3.8,52.371097,6.680768,Netherlands
Solar Pasop,525,7642,SE,2121,Yesterday,60928,Q. sells,Solax 1.5,0.2,52.358697,6.579729,Netherlands
Jinko-Solar JKM335M-60H-V,670,7642,S,3062,Yesterday,45559,Jinko-Solar JKM335M-60H-V,soladin 600,0.2,52.359477,6.581387,Netherlands
EdZon,3120,7641,S,3631,Yesterday,23135,axitec,klne,0.7,52.351651,6.586234,Netherlands
FP4ALL-MON,2000,7641,N,2981,Yesterday,41643,FP4ALL,FP4ALL,0.8,52.3592,6.5931,Netherlands
Leunk,3003,7642,S,1590,Yesterday,49808,,SMA Sunny Boy,0.8,52.3592,6.5931,Netherlands
Longi 455wp Schuur,6370,7642,S,770,Yesterday,90289,LR4 72HPH 455,Fronius Symo 8.0,0.8,52.3592,6.5931,Netherlands
Mark Verschuur,3600,7642,N,1192,Yesterday,82055,Solar,Growatt,0.8,52.3592,6.5931,Netherlands
Oost-West SF170,8500,7641,EW,2470,89 weeks ago,42668,Solar Frontier,SMA STP6000TL,0.8,52.3592,6.5931,Netherlands
PV Pasop,6930,7642,S,1152,Yesterday,73420,,Energy Monitor,0.8,52.3592,6.5931,Netherlands
PV-WierdenSolarEdge,5920,7642,S,646,Yesterday,92948,Longi,SolarEdge SE6K,0.8,52.3592,6.5931,Netherlands
Wierden-Elzenlaan,3000,7642,W,3349,Yesterday,36886,DAXX CIGS Thin Film ,Samilpower Solarriver 3400TL-D,0.8,52.3592,6.5931,Netherlands
Dansolar1986,9360,7642,S,635,Yesterday,93190,Trina,Solaredge ,0.8,52.3592,6.5931,Netherlands
Dhr.Elbert,3975,7641,S,3308,Yesterday,37407,Trina Solar / JA Solar 265 Wp,Solar Edge 3500,0.8,52.3592,6.5931,Netherlands
vanBuuren,2700,7641,S,526,13 weeks ago,25933,Yingli Panda YL-270C 30b,SMA Sunny Boy 2500,0.8,52.3592,6.5931,Netherlands
van den Noort,3180,7642,S,3209,Yesterday,40442,jasolar,Solaredge,0.8,52.3592,6.5931,Netherlands
Wierden,5400,7642,SE,1979,Yesterday,59566,Longi LR6-60PB-300M,Goodwe GW5000D-NS,0.8,52.3592,6.5931,Netherlands
Telgen,3060,7641,W,2142,108 weeks ago,25275,Yingly ,SMA sunnyboy3000TL,0.8,52.3592,6.5931,Netherlands
Totaal Solar,1600,7642,S,784,Yesterday,90190,Jinko-Solar JKM335M-60B,solaredge 1000/ soladin 600,0.8,52.3592,6.5931,Netherlands
Totaal Solar New,1600,7642,S,1089,Yesterday,84498,Jinko-Solar JKM335M-60B,solaredge 1000/ soladin 600,0.8,52.3592,6.5931,Netherlands
Schepers2020,5760,7603,EW,1348,Yesterday,79019,Hanwha Q.Cells DUO-G5 320,SolarEdge SE5000H,1.7,52.364955,6.680685,Netherlands
Nibia Energy Solaredge,5360,7603,EW,1666,Yesterday,71281,Q-cells Q.PEAK BLK-G6 DUO 335,solaredge 5KW,1.9,52.370242,6.688356,Netherlands
loolee,4480,7608,E,2263,Yesterday,57586,,Delta 3.0,2.0,52.375999,6.691704,Netherlands
Alleyhome SUN,3608,7607,SW,1882,Yesterday,66334,LG,Solaredge,1.0,52.3567,6.6625,Netherlands
Almelo02,1890,7609,S,520,Yesterday,95744,QCells,STECA,1.0,52.3567,6.6625,Netherlands
Almelo - Hofwijck,4440,7608,S,837,Yesterday,88896,SolarWatt Eco 120M 370W,Solar Edge,1.0,52.3567,6.6625,Netherlands
Autolader,50,7609,N,869,Yesterday,88243,,Energy Monitor,1.0,52.3567,6.6625,Netherlands
D3LTA-NDS,5460,7608,S,797,133 weeks ago,69740,Trina,Solis ,1.0,52.3567,6.6625,Netherlands
D3LTA-SOLAR,5460,7608,S,749,Yesterday,90883,Trina,Solis,1.0,52.3567,6.6625,Netherlands
DSMR_f-x-w,50,7604,N,1897,Yesterday,65654,,Energy Monitor,1.0,52.3567,6.6625,Netherlands
Euren verbruik thuis,50,7604,N,2424,120 weeks ago,32446,,Energy Monitor,1.0,52.3567,6.6625,Netherlands
jane Youless Oost-West en Zuid,3720,7609,EW,2802,Yesterday,45879,20x SF-170S+2x tsmc TS-160C2,solaredge,1.0,52.3567,6.6625,Netherlands
Keuken-Zuid,1185,7600,S,865,11 weeks ago,86269,Trina Solar Vertex 395Wp,Growatt MIC 2000TL-X,1.0,52.3567,6.6625,Netherlands
Nibia Energy 2.0 all,8725,7603,N,779,Yesterday,90303,q,s g,1.0,52.3567,6.6625,Netherlands
Nibia Energy growatt,3375,7603,W,534,Yesterday,90302,DMEGC 375PW Mono Halfcell,Growatt MOD 3000 TL3-x,1.0,52.3567,6.6625,Netherlands
Nijhof Paradijsweg,6030,7607,SE,1419,Yesterday,77378,Q cells duo,Solar edge,1.0,52.3567,6.6625,Netherlands
OnsGas,50,7609,N,866,Yesterday,88251,,Energy Monitor,1.0,52.3567,6.6625,Netherlands
OnsWater,50,7609,N,663,Yesterday,92607,,Energy Monitor,1.0,52.3567,6.6625,Netherlands
_Ooievaar_,7110,7609,SW,495,Yesterday,96297,Trina Solar,SMA Tripower 6,1.0,52.3567,6.6625,Netherlands
oskop,4860,7606,S,1494,Yesterday,75479,JA Solar,Solaredge SE4000,1.0,52.3567,6.6625,Netherlands
Pas,3900,7604,SE,3532,Yesterday,32529,Amerisol AS 6M30 260W BLACK,SolarEdge SE3500,1.0,52.3567,6.6625,Netherlands
PMS35,6225,7609,S,869,Yesterday,88209,Jinko Tiger & Trina Solar,Solax X1,1.0,52.3567,6.6625,Netherlands
pv-mw,3960,7607,S,554,Yesterday,95109,Solarwatt ECO 120M-360 style,Solaredge SE4000H-RW000BNN4,1.0,52.3567,6.6625,Netherlands
PVOutput 6460W (38x SF170-S),6460,7607,S,1610,Yesterday,45094,Solar Frontier SF170-S,ABB PVI-6000-TL-OUTD,1.0,52.3567,6.6625,Netherlands
Quatt,6000,7609,N,375,Yesterday,99278,,Quatt Heat pump,1.0,52.3567,6.6625,Netherlands
Ralfmotica,4500,7605,SE,2583,Yesterday,53379,JaSolar JAP6-72-300,Solaredge,1.0,52.3567,6.6625,Netherlands
Rappersweg Power,3780,7603,S,1381,Yesterday,72652,Longi 315Wp,Goodwe 3600D-NS,1.0,52.3567,6.6625,Netherlands
BoliverStone rooftop sunfarm,7670,7607,SE,1950,60 weeks ago,55921,IBC Monosol 295ZX all black,SolarEdge SE5000,0.7,52.347716,6.687206,Netherlands
DreesmensPower,4160,7609,S,2308,Yesterday,56911,LG NEON,Solar Edge SE 4000H,0.7,52.334757,6.627599,Netherlands
Almelo01,3420,7609,SE,3223,Yesterday,39462,JA Solar,SMA,0.8,52.333078,6.635013,Netherlands
