name,system_DC_capacity_W,address,orientation,num_outputs,last_output,system_id,panel,inverter,distance_km,latitude,longitude,country
Wellingtonia-2,2550,Switzerland,W,660,Yesterday,92436,SolarPlus,Enphase IQ7+,13.1,46.20231,6.101838,Switzerland
Wellingtonia,2430,Switzerland,EW,3310,Yesterday,36529,Megasol M260-60w,Enecsys 4x480-60 - 1x240-60,13.3,46.199113,6.098496,Switzerland
velletri,6600,Switzerland,NW,1850,Yesterday,67250,BenQ PM096B300,SolarEdge SE7k,17.9,46.168026,6.138719,Switzerland
brignon-mvo-1,4500,Switzerland,S,2383,Yesterday,56980,Aleo S_19 / 300,Fronius,14.2,46.182951,7.322099,Switzerland
YRR Home,10800,Switzerland,SE,2373,Yesterday,54013,Unknown,Enphase M215,18.1,46.300851,7.492591,Switzerland
Trivigno,3000,Italy,S,3976,Yesterday,12415,Sanyo,Aurora,18.4,46.187108,10.198557,Italy
mirk_mysun,2890,23037,W,4234,89 weeks ago,15293,BPSolar,Aurora,18.7,46.214012,10.164332,Italy
pvsanzeno,3960,38010,S,5345,6 weeks ago,42897,Suntech STP180S,SMA Sunny Boy 4000TL-20,9.2,46.364094,11.072854,Italy
Casa G.P.,2940,38010,SW,4392,Yesterday,43110,,Aurora Power 3.0,13.7,46.405922,11.090913,Italy
MAX_FV,2940,38010,SW,4510,Yesterday,5679,SHARP ND-R245A5,SMA Sunny Boy 3000TL-20,15.7,46.19588,11.128905,Italy
Daniele,2943,38100,SW,3464,Yesterday,34201,SunPower,SMA Sunny Boy 3000TL-21,21.8,46.125516,11.11755,Italy
sunnysantacruz,4000,32016,SE,1553,4 days ago,27882,solarworld poly 250,SMA sunny boy 4000,24.2,46.0922,12.3247,Italy
PV_Cjulins,4950,33038,SW,2576,Yesterday,51498,SolarWord SW275 mono,Solarmax SM5000P,19.5,46.165605,13.022626,Italy
prince solar system,4230,33038,S,2794,2 days ago,38619,sanyo,SMA Sunny Boy 4000 TL-20,20.4,46.1347,12.9719,Italy
Impianto Casa,5390,Italy,SW,4200,2 days ago,14258,Sch?co MPE 245 PS 08,SMA SB5000TL-21,20.8,46.279868,13.13226,Italy
fvn-2,49490,33080,S,4037,Yesterday,16186,SolarWorld SW245POLY,Fronius CL 48.00,22.1,46.2058,12.6128,Italy
fvp,98980,33080,SE,4050,Yesterday,11177,SolarWorld SW245POLY,Fronius CL 48.00,22.1,46.2058,12.6128,Italy
fvp-1,49490,33080,SE,3997,Yesterday,16189,SolarWorld SW245POLY,Fronius CL 48.00,22.1,46.2058,12.6128,Italy
fvp-2,49490,33080,SE,3999,Yesterday,16190,SolarWorld SW245POLY,Fronius CL 48.00,22.1,46.2058,12.6128,Italy
fvv,98980,33080,SE,3952,12 weeks ago,11176,SolarWorld SW245POLY,Fronius CL 48.00,22.1,46.2058,12.6128,Italy
fvv-1,49490,33080,SE,3824,12 weeks ago,16187,SolarWorld SW245POLY,Fronius CL 48.00,22.1,46.2058,12.6128,Italy
fvv-2,49490,33080,SE,3824,12 weeks ago,16188,SolarWorld SW245POLY,Fronius CL 48.00,22.1,46.2058,12.6128,Italy
fvm,98980,33080,SE,3951,Yesterday,11178,SolarWorld SW245POLY,Fronius CL 48.00,22.1,46.2058,12.6128,Italy
Roveredo,2990,33080,S,2909,Yesterday,45709,SCHOTT,SMA,22.1,46.2058,12.6128,Italy
fvm-1,49490,33080,SE,3900,Yesterday,16191,SolarWorld SW245POLY,Fronius CL 48.00,22.1,46.2058,12.6128,Italy
fvm-2,49490,33080,SE,3900,Yesterday,16192,SolarWorld SW245POLY,Fronius CL 48.00,22.1,46.2058,12.6128,Italy
fvn,98980,33080,S,4143,Yesterday,11175,SolarWorld SW245POLY,Fronius CL 48.00,22.1,46.2058,12.6128,Italy
fvn-1,49490,33080,S,4037,Yesterday,16185,SolarWorld SW245POLY,Fronius CL 48.00,22.1,46.2058,12.6128,Italy
SE 30,30000,Croatia,S,1818,Yesterday,59413,Solvi,Aurora,21.6,46.281872,16.258194,Croatia
Lisztnet,8670,Hungary,S,766,Yesterday,49626,Kyocera,Fronius,3.6,46.305049,18.517617,Hungary
Bonyhád Fazekas M u 25.,12300,Hungary,EW,577,Yesterday,94550,Leapton 410 Wp,FRONIUS osztrák SYMO 10.0-3-M,4.7,46.285282,18.527691,Hungary
LovasiMaza,3465,Hungary,S,1906,Yesterday,65829,Amerisolar,Fronius,6.4,46.272896,18.39856,Hungary
xelzinhome,6360,Hungary,N,1902,98 weeks ago,51356,sharp,sma sunny tl-6000,22.5,46.189909,18.713977,Hungary
MAKO TOLDI-SOLAR,5830,Hungary,SE,2034,Yesterday,61095,Sharp,Fronius Symo 4.5,14.6,46.218298,20.486724,Hungary
Balaton,4560,Hungary,SW,1709,Yesterday,71937,C-Sun,Growatt 4000UE,15.2,46.204459,20.479278,Hungary
solar Laslea,7200,Romania,SW,2012,Yesterday,54317,noname,Axpert 7248Max,11.5,46.204285,24.653278,Romania
Alleliad,2960,France,S,545,35 weeks ago,88328,RECOM - RCM-370-6ME / 370W,Solax - X1 AIR 3.0 S-D,13.5,45.970703,4.33836,France
SMA Via Varese,6000,21010,SE,1458,154 weeks ago,80115,Wiessmann Vitovolt 300,Energy Monitor,12.1,45.9784,8.7174,Italy
Energy Power  Sandro Corsi,9500,Switzerland,S,1828,Yesterday,62313,microinverter,MT-SYSTEM,12.4,46.008797,8.855207,Switzerland
bedihome,7560,Switzerland,S,620,Yesterday,93651,,SE,12.5,46.073231,8.898926,Switzerland
GREMLICH,6000,Switzerland,SE,1767,35 weeks ago,63316,Sunage SAM 60/6,MT Micro E 500,13.9,46.079334,8.918893,Switzerland
BianchiErminio,10000,Switzerland,S,1866,Yesterday,66848,mt-system,mt-system,17.1,46.060756,8.957345,Switzerland
Rubiana37,5400,Switzerland,S,1959,Yesterday,66460,Sunerg,Fronius Symo 5.0-3-M,18.2,45.993198,8.932658,Switzerland
Casa_Cadro,13845,Switzerland,SW,1319,Yesterday,79224,Longi,Fronius,19.5,46.041313,8.983389,Switzerland
Energy Power  Montorfani,6720,Switzerland,S,1967,20 days ago,62564,MTSystem,MTSystem,19.7,45.988644,8.952195,Switzerland
Fedexan,3960,28804,SE,1389,Yesterday,87232, Suntech STP330S-A60/Wfh,Solaredge SE4000 HD,23.0,45.95071,8.513621,Italy
Fotovoltaico di Massi,6100,23826,SW,1594,Yesterday,72837,Jinko Solar,Solaredge,18.8,45.9192,9.3193,Italy
Rompani S.r.l.,12600,23821,SE,2678,54 weeks ago,28724,kyocera,aurora,20.7,45.9005,9.3341,Italy
SolarInToTheMountain,2700,24020,SE,511,Yesterday,96436,Munchen,Voltronic Axpert Max II 10KW,7.1,46.026366,10.011179,Italy
GPier_Bueggio,2880,24020,S,1046,Yesterday,81675,Sharp,Delta Solivia 3.0,12.3,45.997718,10.075284,Italy
Nicola's house,6270,24023,EW,1465,Yesterday,75901,,SolarEdge,22.2,45.8871,9.9497,Italy
manesi,3000,38042,W,2900,Yesterday,42319,BENQ,Power ONE,5.3,46.130783,11.243341,Italy
Martignano,7020,38100,S,1032,Yesterday,43008,PowerOne,PVi-10,7.3,46.08522,11.126769,Italy
Flanesi,3000,38042,SE,3576,Yesterday,30235,BENQ Green Triplex PM250P00,Power-One PVI-3.0-TL-PUTD-S,8.1,46.147923,11.275586,Italy
MarnetPowerSupply,3000,38100,W,4329,Yesterday,10708,Helios h3a250m,Aurora Power one 3.0,8.8,46.036851,11.131944,Italy
TonyDinozzo,2943,38100,SW,3268,18 weeks ago,34202,SunPower,SMA Sunny Boy 3000TL-21,9.2,46.0824,11.1021,Italy
Tethyso,11445,38100,W,2587,Yesterday,52021,Sunpower,SolarEdge,9.2,46.0824,11.1021,Italy
MIO-LevicoTerme,3000,38056,SE,3407,90 weeks ago,10167,Q-CELLS q.peak,Aurora Power-one,11.0,46.005069,11.302232,Italy
2.94kw Vezzano - Vallelaghi,2940,38070,SE,868,Yesterday,96869,Kyoto,ABB,17.3,46.075166,10.997486,Italy
Deckard,2990,38060,E,4888,3 days ago,894,BP Solar Endura BP 3230N,SMA Sunny Boy SB 3000TL,19.2,45.936666,11.095827,Italy
--OSCAR--,2970,38060,S,2647,Yesterday,49754,Kioto,Solaredge,24.5,45.913,11.0239,Italy
Denis,3000,32100,SW,2441,Yesterday,21386,Aleo solar,Energy Monitor,14.7,46.044838,12.022724,Italy
